"ACC_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE","DOB","GENDER","INCOME","INCOME_TYPE","CC_STATUS","CAR","REALTY","FAMILY_STATUS","FAM_MEMBERS","CHILDREN","HOUSING_TYPE","EDUCATION_TYPE","OCCUPATION_TYPE","DATE_EMPLOYED","CITY"
"5139873","Salomon","Rimmington","srimmingtondt@tamu.edu","271-503-5855","1964-01-30","Male","720000","Commercial associate","Not Applied","Y","Y","Separated","1","0","House / apartment","Higher education","Managers","2007-10-28","Powidz"
"5143030","Ola","Parrington","oparrington3w@cargocollective.com","688-590-8638","1984-11-23","Female","225000","Commercial associate","Approved","Y","N","Married","2","0","House / apartment","Secondary / secondary special","Managers","2020-05-19","Amiens"
"5149676","Wylie","Sidworth","wsidworth1i@nifty.com","259-575-2525","1982-12-26","Female","405000","Working","Approved","Y","Y","Married","5","3","House / apartment","Secondary / secondary special","Accountants","2010-01-16","Shuguang"
"5154304","Janina","Burthom","jburthom6j@joomla.org","419-309-8448","1983-01-25","Female","157500","Working","Not Applied","N","Y","Civil marriage","3","1","House / apartment","Secondary / secondary special","Sales staff","2017-03-29","Hamilton"
"5155692","Janith","Barwood","jbarwoodp@histats.com","289-232-2862","1979-10-02","Male","135000","Commercial associate","Approved","Y","Y","Married","2","0","House / apartment","Secondary / secondary special","Sales staff","2013-11-19","Peseng"
"5155993","Delainey","McLugish","dmclugish6m@typepad.com","932-711-1736","1982-01-17","Female","103500","Working","Declined","Y","Y","Married","3","1","House / apartment","Higher education","Core staff","2015-05-06","Weda"
"5156631","Morry","McConigal","mmcconigal5b@phpbb.com","656-298-4780","1987-01-31","Male","135000","Working","Pending Approval","Y","Y","Separated","2","1","House / apartment","Secondary / secondary special","Drivers","2018-10-29","Wuchagou"
"5170224","Sapphire","Palatini","spalatini5f@prnewswire.com","788-580-6585","1977-05-23","Female","112500","Working","Pending Approval","Y","Y","Married","2","0","House / apartment","Secondary / secondary special","Drivers","2011-07-03","Mawu"
"5170545","Judas","Vize","jvize50@washingtonpost.com","818-517-2411","1983-10-26","Female","135000","State servant","Not Applied","N","Y","Married","3","1","House / apartment","Higher education","Core staff","2019-06-06","Rowokangkung"
"5185553","Vernen","Hitschke","vhitschkede@cocolog-nifty.com","570-671-2223","1979-10-18","Female","90000","Working","Pending Approval","N","Y","Widow","2","1","House / apartment","Secondary / secondary special","Core staff","2020-11-07","Nūrābād"
"5189669","Frans","Fleisch","ffleischq@ebay.co.uk","641-446-8877","1968-12-15","Female","126000","Working","Not Applied","N","Y","Separated","1","0","House / apartment","Incomplete higher","Drivers","2014-01-31","Casais Brancos"
"5190126","Sandor","Bagby","sbagby6z@virginia.edu","408-589-2583","1983-10-07","Female","270000","Working","Not Applied","Y","Y","Married","3","1","House / apartment","Secondary / secondary special","Drivers","2014-03-03","Vysotsk"
"5197145","Vittoria","Deane","vdeane83@so-net.ne.jp","967-539-6128","1983-04-04","Female","112500","Working","Declined","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Cooking staff","2015-12-14","Kurmuk"
"5198140","Angie","Goodenough","agoodenough4r@surveymonkey.com","303-336-5665","1980-04-02","Male","112500","Working","Pending Approval","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Core staff","2017-12-15","Šavnik"
"5207904","Jamil","Pibsworth","jpibsworth2m@archive.org","269-643-6343","1977-05-11","Male","157500","Working","Approved","N","Y","Married","4","2","House / apartment","Secondary / secondary special","High skill tech staff","1995-11-04","Pekuwon"
"5223426","Barbabas","Skune","bskuneb5@github.com","660-737-7677","1975-08-24","Female","225000","State servant","Not Applied","Y","N","Married","2","0","House / apartment","Higher education","Core staff","2015-12-29","Kadubadak"
"5224380","Alla","Steynor","asteynor22@blogtalkradio.com","214-511-9471","1971-12-23","Female","81000","Working","Not Applied","Y","Y","Married","5","3","House / apartment","Secondary / secondary special","Drivers","2015-10-30","Dallas"
"5235892","Jamil","Rollett","jrollett7k@dailymail.co.uk","258-414-3100","1993-05-18","Male","112500","Commercial associate","Not Applied","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Sales staff","2018-05-29","Punkaharju"
"5236025","Gaven","Leeder","gleeder30@amazon.de","891-213-2310","1965-01-29","Female","202500","State servant","Declined","N","Y","Married","2","0","House / apartment","Higher education","Core staff","1999-11-26","Namyang-dong"
"5237026","Madeline","Ivanchin","mivanchinc7@yahoo.com","309-877-8228","1977-11-23","Female","121500","Working","Pending Approval","Y","N","Married","4","2","House / apartment","Secondary / secondary special","Drivers","2018-08-27","Lianxia"
"5242347","Jae","Barttrum","jbarttrumbd@rambler.ru","765-463-4333","1992-04-23","Male","279000","Commercial associate","Declined","N","Y","Civil marriage","2","0","House / apartment","Higher education","Managers","2012-02-01","Indianapolis"
"5243141","Erena","Staterfield","estaterfield2g@google.com.au","595-556-8855","1974-01-28","Male","144000","Working","Pending Approval","N","N","Civil marriage","3","1","House / apartment","Higher education","Laborers","2000-09-05","San Lorenzo"
"5253299","Stewart","Osler","sosler6x@list-manage.com","608-937-1077","1971-12-02","Male","67500","Working","Pending Approval","N","Y","Civil marriage","2","0","House / apartment","Secondary / secondary special","Cleaning staff","2013-06-24","Kukulu"
"5258128","Phillipe","Jovey","pjoveycw@boston.com","274-426-9677","1974-07-08","Female","292500","Commercial associate","Not Applied","Y","N","Married","2","0","House / apartment","Secondary / secondary special","High skill tech staff","2013-07-30","Miyang"
"5267797","Judie","Hellin","jhellin5q@yellowbook.com","628-424-1789","1991-01-16","Female","121500","State servant","Declined","Y","Y","Married","4","2","With parents","Incomplete higher","Managers","2019-08-30","Askersund"
"5270460","Corrine","Ferrarone","cferrarone24@uol.com.br","763-736-9098","1985-06-14","Female","90000","Working","Approved","N","N","Single / not married","1","0","House / apartment","Secondary / secondary special","Waiters/barmen staff","2006-12-29","Pābna"
"5270830","Grace","Bonnett","gbonnettaq@wufoo.com","209-690-2029","1985-07-03","Male","90000","Working","Approved","N","N","Married","2","0","House / apartment","Secondary / secondary special","Sales staff","2020-08-28","Fresno"
"5270925","Gustavus","Mc Ilwrick","gmcilwrick2k@linkedin.com","446-768-1267","1987-09-26","Male","234000","Working","Declined","Y","N","Single / not married","1","0","House / apartment","Secondary / secondary special","Laborers","2018-03-29","Zhonglong"
"5271607","Gay","Zannelli","gzannelli5v@google.fr","166-110-0952","1989-11-17","Male","202500","Working","Approved","Y","N","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2015-04-08","Challhuahuacho"
"5279069","Ericka","Shellsheere","eshellsheere14@discuz.net","614-676-5920","1977-07-16","Male","157500","Working","Not Applied","Y","Y","Married","2","0","House / apartment","Higher education","Managers","2001-09-27","Broto"
"5279409","Augustine","Maffei","amaffeico@slideshare.net","217-141-9424","1977-12-26","Male","202500","Working","Approved","N","Y","Separated","1","0","House / apartment","Secondary / secondary special","Sales staff","2016-09-14","Higashimurayama-shi"
"5290448","Cosimo","Duffield","cduffield5g@google.es","757-877-0325","1966-06-03","Male","315000","Commercial associate","Not Applied","Y","Y","Single / not married","1","0","House / apartment","Secondary / secondary special","Drivers","2000-03-14","Karlshamn"
"5297806","Billye","MacDonough","bmacdonough3h@lycos.com","615-496-2905","1984-01-26","Female","225000","Working","Approved","Y","N","Married","2","0","House / apartment","Higher education","Managers","2012-08-01","Taurage"
"5314382","Garv","Llewellin","gllewellin5k@msu.edu","784-665-0364","1977-06-18","Male","202500","Working","Declined","N","Y","Married","2","0","House / apartment","Higher education","Accountants","2015-05-22","Xiaji"
"5317818","Gregor","Bullough","gbulloughct@msn.com","436-168-5837","1970-06-06","Male","225000","Commercial associate","Declined","N","Y","Separated","1","0","Office apartment","Secondary / secondary special","High skill tech staff","1991-06-05","Tambakmerak"
"5317840","Shellysheldon","Spratling","sspratling6b@exblog.jp","733-361-2222","1986-09-28","Female","135000","Commercial associate","Approved","Y","Y","Married","3","1","House / apartment","Secondary / secondary special","Drivers","2020-05-04","Gândara"
"5317995","Elizabeth","Batie","ebatie7s@dmoz.org","331-864-9313","1987-11-09","Female","135000","Working","Not Applied","Y","Y","Married","4","2","With parents","Higher education","Core staff","2020-08-04","Ust’-Donetskiy"
"5335864","Trumaine","Emlin","temlin9z@wisc.edu","194-974-7677","1984-05-25","Male","157500","Working","Approved","Y","Y","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2014-07-28","Lameira"
"5344822","Hedvig","Peakman","hpeakman2x@wikia.com","512-243-1238","1968-10-12","Female","175500","Working","Approved","N","Y","Married","3","1","House / apartment","Secondary / secondary special","Sales staff","2017-01-03","Austin"
"5349940","Lisha","Ruzek","lruzekb6@exblog.jp","242-494-5940","1985-05-22","Male","135000","Working","Not Applied","N","N","Civil marriage","2","0","House / apartment","Secondary / secondary special","Core staff","2014-07-07","Sipe Sipe"
"5372865","Paul","Doddemeede","pdoddemeede4@independent.co.uk","130-555-8083","1991-04-04","Female","121500","Working","Not Applied","N","N","Married","3","1","House / apartment","Secondary / secondary special","Medicine staff","2010-08-07","Jiangmen"
"5377099","Willie","Tompkinson","wtompkinson15@gmpg.org","638-439-5106","1960-01-23","Male","238500","Working","Not Applied","Y","N","Married","2","0","Municipal apartment","Higher education","Laborers","2011-12-07","Dogondoutchi"
"5377318","Desmond","Dennant","ddennant1x@ameblo.jp","914-444-6218","1992-11-11","Male","157500","Commercial associate","Declined","Y","N","Separated","1","0","With parents","Secondary / secondary special","Laborers","2018-02-06","Estreito"
"5384931","Christa","Schiesterl","cschiesterl97@wp.com","558-741-6391","1993-06-30","Female","81000","Commercial associate","Approved","N","Y","Married","3","1","House / apartment","Higher education","Sales staff","2012-09-29","Orion"
"5398938","Sherill","Twamley","stwamleydk@forbes.com","596-976-7035","1989-07-25","Female","81000","Working","Not Applied","N","Y","Married","3","1","House / apartment","Secondary / secondary special","Sales staff","2020-02-07","Nakhon Nayok"
"5401096","Omar","Gadault","ogadault4f@1und1.de","627-916-3995","1975-08-29","Female","67500","Commercial associate","Pending Approval","N","Y","Separated","1","0","House / apartment","Secondary / secondary special","High skill tech staff","2006-02-27","Suncheon"
"5401438","Brina","Milington","bmilington6k@moonfruit.com","709-278-9105","1986-07-16","Male","315000","Working","Pending Approval","Y","N","Married","2","0","House / apartment","Secondary / secondary special","Low-skill Laborers","2015-02-28","Trnovska Vas"
"5401684","Jenna","De Ruggiero","jderuggieroch@abc.net.au","799-880-6586","1967-02-16","Male","202500","Working","Declined","N","N","Widow","1","0","House / apartment","Secondary / secondary special","Low-skill Laborers","2004-01-28","Gustavsberg"
"5403036","Kenna","Manilow","kmanilowal@rambler.ru","609-444-6035","1992-10-17","Female","247500","State servant","Approved","N","Y","Married","3","1","House / apartment","Secondary / secondary special","Core staff","2015-02-22","Xiaocun"
"5403230","Hayyim","Stiles","hstilesa5@salon.com","234-799-9309","1981-11-09","Female","112500","Working","Approved","N","Y","Married","2","0","House / apartment","Higher education","Core staff","2019-10-30","Yao"
"5406477","Sandra","Donnison","sdonnison65@ibm.com","732-246-2812","1976-06-14","Male","45000","State servant","Approved","N","Y","Married","3","1","House / apartment","Secondary / secondary special","Medicine staff","2001-12-20","Genève"
"5408268","Fredra","Viscovi","fviscovi8l@google.fr","732-987-1308","1962-08-24","Female","162000","Working","Pending Approval","N","N","Widow","1","0","House / apartment","Secondary / secondary special","Core staff","2002-10-07","Bato"
"5408624","Clarabelle","Muddiman","cmuddiman9i@newsvine.com","158-754-7656","1966-11-11","Male","112500","Working","Approved","N","N","Married","2","0","House / apartment","Secondary / secondary special","Core staff","2007-02-06","San Jacinto"
"5408916","Margret","Maltby","mmaltby4u@macromedia.com","202-803-4574","1995-06-09","Male","90000","Working","Declined","N","N","Single / not married","1","0","House / apartment","Secondary / secondary special","Sales staff","2019-02-06","Washington"
"5408958","Hiram","Gagie","hgagiebu@twitter.com","837-884-2227","1980-08-26","Male","225000","Commercial associate","Approved","Y","N","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2006-03-08","Salitral"
"5409410","Nanon","Somerfield","nsomerfield25@mediafire.com","700-739-0504","1978-10-12","Female","292500","Working","Declined","Y","N","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2012-10-06","Sorang"
"5415794","Mickey","Fawthorpe","mfawthorpedo@1688.com","755-173-4424","1984-07-08","Male","157500","Commercial associate","Not Applied","N","Y","Married","2","0","House / apartment","Higher education","Laborers","2018-03-27","Skara"
"5415875","Astra","Gyrgorwicx","agyrgorwicx56@stumbleupon.com","446-489-7658","1959-07-29","Female","180000","Working","Pending Approval","Y","Y","Married","4","2","House / apartment","Secondary / secondary special","Core staff","2018-11-25","Valle Grande"
"5416444","Eugine","Orvis","eorvisbk@google.ca","599-135-7460","1990-04-18","Female","157500","State servant","Declined","Y","N","Married","4","2","House / apartment","Secondary / secondary special","High skill tech staff","2012-08-14","München"
"5416475","Flinn","Pepperill","fpepperill7q@dropbox.com","628-320-4277","1989-02-28","Female","180000","Working","Approved","Y","Y","Married","4","2","House / apartment","Secondary / secondary special","Drivers","2014-04-15","Poděbrady"
"5416716","Guenevere","Ashwell","gashwell4j@phoca.cz","580-966-6376","1989-12-09","Female","112500","State servant","Not Applied","N","N","Married","2","0","House / apartment","Incomplete higher","Medicine staff","2016-06-14","Walichnowy"
"5417007","Rina","Troppmann","rtroppmann9h@alibaba.com","757-744-0223","1983-07-16","Male","270000","Commercial associate","Declined","Y","Y","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2010-08-05","Duqu"
"5417324","Sherrie","MacKenzie","smackenziead@geocities.jp","890-429-3547","1976-05-08","Male","135000","Working","Declined","N","Y","Separated","1","0","House / apartment","Secondary / secondary special","Sales staff","2019-07-05","Mayingzhuang"
"5424818","Rozella","Coats","rcoats92@amazon.de","574-694-0455","1991-01-25","Female","135000","Commercial associate","Not Applied","N","Y","Married","3","1","House / apartment","Higher education","High skill tech staff","2019-07-03","Yichun"
"5436025","Jarred","Faustian","jfaustian78@uol.com.br","956-599-5106","1993-03-20","Female","108000","Working","Declined","Y","Y","Married","4","2","House / apartment","Higher education","Core staff","2019-11-27","‘Ajlūn"
"5438429","Valentina","Catonne","vcatonne2s@nifty.com","435-431-9770","1986-03-04","Female","157500","Working","Not Applied","N","N","Separated","1","0","With parents","Secondary / secondary special","Sales staff","2016-09-07","Santa Monica"
"5439797","Nicol","O' Meara","nomeara1t@fda.gov","422-825-8578","1995-07-01","Female","180000","Commercial associate","Pending Approval","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Medicine staff","2015-07-09","Hali"
"5440063","Kania","Crocroft","kcrocroftdc@unicef.org","292-326-8993","1996-02-18","Male","153000","Commercial associate","Approved","N","Y","Civil marriage","2","0","House / apartment","Higher education","Sales staff","2020-03-31","Las Matas de Santa Cruz"
"5451972","Reinold","Zoellner","rzoellner7c@myspace.com","393-129-1160","1987-03-19","Male","171000","Working","Pending Approval","Y","N","Married","4","2","House / apartment","Secondary / secondary special","Sales staff","2017-06-29","Chastyye"
"5452183","Norean","Gosden","ngosden1b@prweb.com","273-683-8844","1981-01-21","Female","180000","Commercial associate","Not Applied","N","Y","Civil marriage","3","1","House / apartment","Secondary / secondary special","Private service staff","2006-11-30","Bugene"
"5453534","Clayson","Essel","cesselaj@i2i.jp","312-317-9061","1995-05-16","Female","180000","Working","Not Applied","Y","Y","Married","3","1","House / apartment","Secondary / secondary special","Sales staff","2014-05-27","Petrov"
"5463162","Caddric","Boeck","cboeck2v@umn.edu","786-800-5406","1981-01-27","Female","225000","Commercial associate","Declined","N","Y","Married","3","1","House / apartment","Secondary / secondary special","High skill tech staff","2005-03-16","Tanggung"
"5464756","Colette","Pershouse","cpershousebw@wufoo.com","789-126-8059","1990-06-16","Male","112500","Working","Declined","Y","Y","Married","4","2","House / apartment","Higher education","Accountants","2009-10-28","Torkanivka"
"5465346","Rice","Snedker","rsnedkerc4@homestead.com","694-652-8919","1972-03-16","Female","90000","Working","Approved","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Accountants","2014-12-31","Bahía Honda"
"5466693","Rollins","Bertome","rbertome5i@parallels.com","952-257-2989","1972-04-30","Male","157500","Working","Declined","N","Y","Married","2","0","House / apartment","Higher education","Core staff","2010-04-02","Young America"
"5471098","Rebecca","Espinoza","respinoza41@over-blog.com","320-890-8422","1964-04-30","Male","225000","Working","Pending Approval","Y","N","Married","2","0","House / apartment","Secondary / secondary special","Laborers","1999-10-14","Soeng Sang"
"5476285","Maje","Carreck","mcarrecka6@stumbleupon.com","832-719-9915","1983-08-17","Male","202500","Working","Pending Approval","Y","Y","Married","2","0","House / apartment","Higher education","Managers","2009-07-14","Yoshkar-Ola"
"5476597","Aliza","Zamorano","azamoranok@microsoft.com","317-595-5725","1991-10-18","Male","180000","Working","Not Applied","Y","Y","Married","2","0","With parents","Secondary / secondary special","Sales staff","2016-09-05","Naukot"
"5499587","Marcelia","Lumley","mlumley1u@telegraph.co.uk","466-928-4516","1976-12-26","Female","180000","Working","Declined","N","Y","Civil marriage","2","0","House / apartment","Secondary / secondary special","Medicine staff","2003-09-05","Babakan"
"5499623","Tracy","Buffy","tbuffy9@unblog.fr","333-620-1144","1993-06-07","Male","225000","Working","Approved","N","N","Married","2","0","House / apartment","Higher education","Accountants","2017-02-02","Taupo"
"5501733","Pansie","Darbishire","pdarbishire3x@csmonitor.com","971-938-5797","1971-12-23","Male","112500","Working","Not Applied","Y","N","Married","4","2","House / apartment","Secondary / secondary special","High skill tech staff","2013-11-03","Zhangshi"
"5509867","Milicent","McCreagh","mmccreaghcb@nature.com","343-420-9845","1974-02-04","Male","81000","Commercial associate","Declined","N","Y","Married","4","2","House / apartment","Secondary / secondary special","Low-skill Laborers","1997-06-04","Gareba"
"5513270","Aurelie","Bussetti","abussetti1o@skyrock.com","674-406-7996","1963-09-06","Female","292500","Commercial associate","Pending Approval","Y","Y","Married","2","0","House / apartment","Higher education","High skill tech staff","2004-07-28","Kawm Umbū"
"5513404","Millie","Fritter","mfritter7b@google.nl","677-270-3787","1994-05-06","Male","202500","Working","Not Applied","N","N","Single / not married","1","0","With parents","Secondary / secondary special","Laborers","2014-02-28","Bulri"
"5522144","Minta","MacCleay","mmaccleay9k@storify.com","649-120-2373","1969-09-01","Male","270000","Working","Declined","Y","Y","Married","2","0","House / apartment","Secondary / secondary special","Managers","2006-08-04","Reims"
"5522455","Rod","Tucsell","rtucsell79@oakley.com","269-637-5059","1982-11-10","Male","135000","Working","Approved","N","N","Married","4","2","House / apartment","Secondary / secondary special","Laborers","2013-11-03","Vincennes"
"5526404","Isaiah","August","iaugust8n@booking.com","891-721-3812","1990-10-06","Female","180000","Commercial associate","Approved","N","N","Married","3","1","With parents","Incomplete higher","Laborers","2014-09-09","Anle"
"5526444","Janeva","Tweedy","jtweedycm@vimeo.com","117-365-8681","1984-05-15","Female","112500","Commercial associate","Declined","N","Y","Married","3","1","House / apartment","Higher education","Laborers","2019-09-15","Bŭka"
"5536191","Roana","Lemmen","rlemmen2j@twitpic.com","241-319-9429","1962-11-10","Male","225000","Working","Not Applied","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Security staff","2017-02-10","Bolorejo"
"5537149","Mateo","Rainon","mrainon1v@ihg.com","837-622-7656","1985-06-27","Female","103500","Working","Pending Approval","N","N","Single / not married","1","0","House / apartment","Secondary / secondary special","Sales staff","2013-01-09","Tuguanpu"
"5538937","Kalle","Labram","klabramat@parallels.com","409-427-2771","1981-06-17","Male","157500","Working","Pending Approval","N","Y","Civil marriage","3","1","House / apartment","Secondary / secondary special","Sales staff","2013-02-26","Cibungur"
"5539022","Isacco","Praill","ipraill0@state.tx.us","748-722-7595","1992-06-20","Female","112500","Working","Not Applied","Y","Y","Civil marriage","2","0","With parents","Secondary / secondary special","Drivers","2018-03-29","Gelatik"
"5542909","Andi","Stalman","astalman6n@mayoclinic.com","500-899-8546","1976-09-12","Female","135000","Working","Not Applied","Y","Y","Single / not married","2","1","House / apartment","Secondary / secondary special","Medicine staff","2020-01-25","Hedong"
"5548311","Cordelie","Hug","chug44@topsy.com","731-377-1931","1990-12-31","Female","225000","Commercial associate","Declined","N","Y","Married","3","1","House / apartment","Secondary / secondary special","Managers","2019-03-25","Vydreno"
"5549187","Crissie","Surgey","csurgeyae@51.la","468-217-1848","1988-09-30","Male","234000","Commercial associate","Pending Approval","Y","Y","Separated","1","0","House / apartment","Secondary / secondary special","Core staff","2020-06-24","Marintoc"
"5552134","Billy","Ivashnikov","bivashnikovbp@tuttocitta.it","625-264-1302","1995-01-26","Female","247500","Working","Approved","Y","N","Single / not married","1","0","House / apartment","Secondary / secondary special","Laborers","2020-03-20","Lahar"
"5552259","Base","Hinz","bhinz69@un.org","803-271-7976","1976-03-22","Female","180000","Working","Not Applied","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2017-01-20","Santa Bárbara de Padrões"
"5552266","Rufus","Spratt","rspratt5p@newsvine.com","725-971-1247","1985-01-19","Female","157500","Commercial associate","Declined","N","Y","Single / not married","3","2","House / apartment","Higher education","High skill tech staff","2019-05-21","Aykol"
"5576492","Vito","Bailiss","vbailiss5c@istockphoto.com","976-115-1916","1989-06-15","Female","157500","Working","Declined","N","N","Married","4","2","House / apartment","Secondary / secondary special","Laborers","2013-07-15","Lidečko"
"5579701","Jillayne","Drew","jdreww@census.gov","212-748-4406","1970-07-22","Female","135000","Commercial associate","Declined","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Secretaries","2010-06-02","Lagoa Seca"
"5580212","Niven","Ranscomb","nranscombb7@virginia.edu","953-343-8597","1983-05-08","Male","90000","Working","Approved","N","Y","Married","4","2","House / apartment","Secondary / secondary special","Laborers","2020-06-01","Xiaqiao"
"5580252","Gilbertina","O'Doireidh","godoireidh99@auda.org.au","358-985-9198","1976-09-20","Female","211500","Working","Pending Approval","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Sales staff","2012-05-29","Almargem do Bispo"
